group,Summer 2019,Fall 2019,Winter 2019,Spring 2020,Summer 2020,Fall 2020,Winter 2020
Plgd Fixed/Split,15,15,8,15,15,8,8
Plgd Mobile,40,40,47,40,40,47,47
Large Park fixed/Split,9,9,9,9,9,9,9
Large Park Mobile,0,0,0,0,0,0,0
Greenst Fixed/Split,0,0,0,0,0,0,0
Greenst Mobile,40,40,40,40,40,40,40
Avg No Mobile Crews,4,4,3,4,4,4,3
Avg Crew Size incl. Driver,4,3,2,3,3,3,3
